                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3876,                  5.885,                 1.8259,                0.73575,                0.01839,                 0.0214,                 0.0135,                  1.363,                 4.2732,                 1.9377,             1.6294e-05,             1.6294e-05,             1.6294e-05
                      2,                 1.2446,                 4.2856,                 1.6862,                0.53736,                0.09732,                0.08895,                0.05352,                 1.3124,                 3.5013,                 1.8733,             3.1336e-05,             3.1336e-05,             3.1336e-05
                      3,                 1.2038,                 3.5607,                 1.6387,                0.58932,                  0.168,                0.17366,                0.11121,                 1.2665,                 3.0054,                  1.835,             4.5083e-05,             4.5083e-05,             4.5083e-05
                      4,                 1.1742,                 3.1049,                 1.6014,                0.65493,                0.19715,                0.23966,                0.15806,                 1.2133,                  2.741,                 1.7936,             4.3179e-05,             4.3179e-05,             4.3179e-05
                      5,                 1.1616,                 2.8344,                  1.597,                0.57027,                0.25782,                0.28276,                0.18356,                  1.213,                 2.5111,                 1.7877,             4.3179e-05,             4.3179e-05,             4.3179e-05
                      6,                 1.1167,                 2.5927,                 1.5548,                0.58449,                0.27699,                0.29721,                0.19303,                 1.1964,                 2.4141,                 1.7475,             4.1238e-05,             4.1238e-05,             4.1238e-05
                      7,                 1.1058,                 2.4113,                 1.5403,                0.57791,                0.27881,                0.31689,                0.20985,                 1.1819,                 2.3041,                 1.7463,             3.9298e-05,             3.9298e-05,             3.9298e-05
                      8,                 1.1004,                 2.3079,                 1.5342,                0.56729,                 0.3023,                0.32836,                0.21732,                 1.1967,                 2.2384,                 1.7508,             3.7358e-05,             3.7358e-05,             3.7358e-05
                      9,                 1.0804,                 2.2138,                 1.5175,                0.55338,                0.32616,                0.34949,                0.23217,                 1.1827,                 2.2152,                 1.7285,             3.5417e-05,             3.5417e-05,             3.5417e-05
                     10,                 1.0607,                 2.0959,                 1.5016,                0.59736,                0.34095,                 0.3643,                0.24038,                 1.1854,                 2.1683,                 1.7306,             3.3477e-05,             3.3477e-05,             3.3477e-05
                     11,                 1.0586,                 2.0177,                 1.4978,                0.57353,                0.34529,                0.37254,                0.24632,                 1.1688,                 2.1072,                 1.7073,             3.1536e-05,             3.1536e-05,             3.1536e-05
                     12,                 1.0411,                 1.9491,                 1.4848,                0.56235,                0.36182,                0.38231,                0.24982,                 1.1572,                 2.0713,                  1.703,             2.9596e-05,             2.9596e-05,             2.9596e-05
                     13,                 1.0416,                  1.889,                 1.4796,                0.58547,                0.36195,                0.39462,                0.26122,                 1.1641,                 2.0499,                 1.7235,             2.7656e-05,             2.7656e-05,             2.7656e-05
                     14,                 1.0293,                 1.8379,                  1.467,                0.60031,                0.37382,                0.39554,                0.26634,                 1.1474,                 1.9931,                    1.7,             2.5715e-05,             2.5715e-05,             2.5715e-05
                     15,                 1.0201,                 1.7844,                 1.4643,                0.53374,                0.37418,                0.39715,                0.27046,                 1.1491,                 1.9523,                 1.6964,             2.3775e-05,             2.3775e-05,             2.3775e-05
                     16,                 1.0396,                 1.8224,                 1.6051,                0.57053,                0.35825,                 0.3941,                0.26891,                 1.1465,                 1.9562,                 1.6898,             2.1834e-05,             2.1834e-05,             2.1834e-05
                     17,                 1.0061,                 1.6882,                 1.5714,                0.52568,                0.40114,                0.41274,                0.28255,                 1.1485,                 1.9104,                 1.6855,             1.9894e-05,             1.9894e-05,             1.9894e-05
                     18,                0.98667,                 1.6284,                 1.5536,                0.51911,                0.39606,                0.41655,                0.28531,                 1.1447,                 1.8907,                 1.6826,             1.7954e-05,             1.7954e-05,             1.7954e-05
                     19,                0.96953,                  1.559,                 1.5362,                 0.5416,                0.38852,                0.41385,                0.27854,                 1.1387,                    1.9,                 1.6807,             1.6013e-05,             1.6013e-05,             1.6013e-05
                     20,                0.95671,                 1.5269,                 1.5229,                 0.5293,                0.40606,                0.41192,                0.28184,                 1.1329,                 1.8976,                 1.6769,             1.4073e-05,             1.4073e-05,             1.4073e-05
                     21,                0.93899,                 1.4593,                 1.5072,                0.60925,                0.37128,                0.42316,                0.29034,                 1.1295,                 1.8704,                 1.6717,             1.2132e-05,             1.2132e-05,             1.2132e-05
                     22,                0.93198,                 1.4336,                  1.498,                0.61765,                0.36321,                0.42709,                0.29861,                 1.1285,                 1.8718,                 1.6684,             1.0192e-05,             1.0192e-05,             1.0192e-05
                     23,                0.92972,                 1.4028,                 1.4936,                0.51988,                0.41791,                0.42554,                0.29503,                  1.127,                 1.8889,                 1.6699,             8.2516e-06,             8.2516e-06,             8.2516e-06
                     24,                 0.9166,                 1.3728,                 1.4867,                 0.5281,                0.41584,                0.42558,                0.29443,                 1.1291,                  1.869,                  1.676,             6.3112e-06,             6.3112e-06,             6.3112e-06
                     25,                0.90458,                 1.3446,                 1.4826,                0.51721,                 0.4286,                0.42708,                0.29794,                  1.128,                 1.8624,                 1.6752,             4.3708e-06,             4.3708e-06,             4.3708e-06
